g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,40,8,15,49,1,8,59,15,202
10,40,7,15,47,1,8,56,14,184
10,40,8,16,50,1,8,60,14,209
10,40,8,16,51,1,9,58,14,212
10,40,7,16,50,1,8,57,15,193
10,40,7,16,50,1,8,58,15,204
10,40,8,15,50,1,8,59,15,203
10,40,9,15,49,1,7,55,14,177
10,40,7,14,47,1,7,54,14,175
10,40,8,15,48,1,8,55,15,197
,MEDIA,"7,66666666666667","15,3333333333333","49,2222222222222",1,"7,88888888888889","57,3333333333333","14,4444444444444","195,444444444444"
