g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent,
30,40,179,983,1656,233,998,1240,546,0,
30,40,158,830,1508,201,857,1121,496,0,
30,40,178,927,1674,232,980,1229,542,0,
30,40,161,806,1546,198,877,1134,501,0,
30,40,161,810,1526,201,852,1112,495,0,
30,40,182,962,1715,224,1012,1239,556,0,
30,40,171,884,1590,219,934,1192,514,0,
30,40,166,793,1483,189,840,1158,494,0,
30,40,182,877,1644,220,913,1207,539,0,
30,40,175,899,1657,224,956,1213,538,0,
,MEDIA,"171,3","877,1","1599,9","214,1","921,9","1184,5","522,1",0, 
