,1_1_CAPA,1_2_CAPAS,1_3_CAPAS,1_SIN_CORTEX,2_BANDAS_DE_ESPICULAS_CRUZADAS,2_MICROSCLERAS,2_PERPENDICULAR,2_SIN_CAPA_INTERNA_DEL_CORTEX,2_TANGENCIAL,2_TANGENCIAL_Y_PERPENDICULAR,3_NO,3_SI,4_NO,4_SI,4_SIN_CORTEX,5_NO,5_SI,5_SIN_CORTEX,6_NO,6_SI,6_SIN_CORTEX,7_0,7_1,7_2,7_3,7_4,8_NO,8_SI,10_1_TIPO,10_2_TIPOS,10_3_TIPOS,10_SI_TIPO,11_NO,11_SI,12_NO,12_SI,13_NO,13_SI,14_NO,14_SI,15_NO,15_SI,16_NO,16_SI,17_NO,17_SI,18_FUSIFORME,18_NORMAL,18_POLITILOTA,18_SIN_ESPICULA_PRINCIPAL_ESTILO,19_FUSIFORME,19_NORMAL,19_POLITILOTA,19_SIN_ESPICULA_PRINCIPAL_TILOSTILO_,20_POMO,20_SIN_TILOSTILOS,20_SUBESFERICA_ALARGADA_OVOIDE,20_TRILOBULADA,21_EMPALIZADA,21_RAMILLETES,21_SIN_MEGASCLERAS_ECTOSOMICAS,21_TANGENCIALES,22_SIN_TILOSTILO_ECTOSOMICO,22_SUBESFERICA_ALARGADA_OVOIDE,22_TRILOBULADA_CON_VESICULA_AXIAL,23_CURVADA,23_RECTA_FUSIFORME,23_RECTA_NO_FUSIFORME,23_SIN_MEGASCLERA_ECTOSOMICA,24_ESTILO,24_ESTILO_TILOSTILO,24_OXAS_ESTRONGILOXAS,24_SIN_MEGASCLERA_ECTOSOMICA,24_TILOSTILO,25_ANATRIENAS,25_CLADOTILOSTILOS,25_ESFEROTILOS,25_SIN_EXOSTILOS,25_TILOSTILOS_ESPINOSOS_EN_LA_PUNTA,25_TILOSTILO_LISO,26_FUSIFORME,26_NORMAL,26_POLITILOTA,26_SIN_MEGASCLERA_INTERMEDIARIA,27_ESTILO,27_ESTILO_TILOSTILO,27_SIN_MEGASCLERA_INTERMEDIARIA,27_TILOSTILO,28_0,28_1,28_2,28_3,29_NO,29_SI,30_ASTER,30_MICROESTILOS_Y_MICROXAS,30_MICROESTRONGILOS_CENTROTILOTES,30_SIN_MICROSCLERAS,30_TRICODRAGMA
AAPTOS_AAPTOS,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
ALECTONA_MILLARI,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
CLIONA_CARTERI,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
CLIONA_CELATA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
CLIONA_LABYRINTHICA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
CLIONA_SCHMIDTI,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
CLIONA_VIRIDIS,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
DIPLASTRELLA_BISTELLATA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
DIPLASTRELLA_ORNATA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
LAXOSUBERITES_ECTYONIMUS,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
LAXOSUBERITES_FERRERHERNANDEZI,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
