g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
20,100,829,2751,2746,308,1009,4923,2267,0
20,100,810,2626,2615,284,977,4775,2191,0
20,100,844,2786,2735,301,1010,4997,2290,0
20,100,840,2742,2711,303,993,4969,2280,0
20,100,829,2692,2679,296,987,4884,2242,0
20,100,828,2692,2721,296,991,4928,2277,0
20,100,795,2617,2609,280,952,4919,2180,0
20,100,825,2725,2740,295,991,4897,2273,0
20,100,843,2720,2657,295,1006,4953,2182,0
20,100,832,2770,2696,304,1008,4920,2259,0
,MEDIA,"827,5","2712,1","2690,9","296,2","992,4","4916,5","2244,1",0
