,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
,1370,3907,9459,318,7951,7124,3071,
,1344,4264,10902,318,7959,6609,3082,
,1321,3778,9283,300,7932,6543,3034,
,1326,3865,9277,317,7949,6647,3073,
,1323,3777,9275,301,7896,6524,3036,
,1322,3872,9468,317,7955,6610,3088,
,1319,3774,9793,301,7918,6660,3035,
,1318,3871,9506,318,7958,6631,3075,
,1319,3780,9442,303,7898,6622,3047,
,1318,3770,9496,301,7923,6544,3043,
MEDIA,1328,"3865,8","9590,1","309,4","7933,9","6651,4","3058,4",
