$|g’|$,$|\G|$,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,500,8754,14227,3182,42,1399,18596,6848,
10,500,8728,14211,3189,42,1401,18715,6847,
10,500,8730,14233,3265,43,1398,18816,6844,
10,500,8770,14314,3171,42,1397,18847,6842,
10,500,8711,14202,3176,43,1395,18881,6839,
10,500,8763,14212,3184,43,1402,18886,6850,
10,500,8728,14219,3192,43,1404,19278,7346,
10,500,9162,14334,3191,43,1404,18940,6870,
10,500,8772,14304,3191,43,1405,18899,6863,
10,500,8764,14370,3189,43,1403,6860,19384,
,MEDIA,"8788,2","14262,6",3193,"42,7","1400,8","17671,8","8153,3",
